date,keyword,platform,metric
2025-07-13,machine learning,youtube_autocomplete,1
2025-07-13,machine learning full course,youtube_autocomplete,1
2025-07-13,machine learning python,youtube_autocomplete,1
2025-07-13,machine learning street talk,youtube_autocomplete,1
2025-07-13,machine learning course,youtube_autocomplete,1
2025-07-13,machine learning projects,youtube_autocomplete,1
2025-07-13,machine learning explained,youtube_autocomplete,1
2025-07-13,machine learning for beginners,youtube_autocomplete,1
2025-07-13,machine learning basics,youtube_autocomplete,1
2025-07-13,machine learning roadmap,youtube_autocomplete,1
2025-07-13,machine learning engineer,youtube_autocomplete,1
2025-07-13,machine learning tutorial,youtube_autocomplete,1
2025-07-13,machine learning models,youtube_autocomplete,1
2025-07-13,machine learning playlist,youtube_autocomplete,1
